size,algorithm,data_type,run_index,seed,time_s,comparisons,metadata,hostname,cpu_info,compiler_info,timestamp
4000,open_addressing,insert,0,42,0.000067045,0,"load_factor=0.7000;total_probes=9405;max_cluster=120","INOVAI-NB-8","CPU info","GCC 13.3.0","2025-10-06 17:39:37"
4000,chaining,insert,1,43,0.000043033,0,"load_factor=0.7000;collisions=874;max_chain=8","INOVAI-NB-8","CPU info","GCC 13.3.0","2025-10-06 17:39:37"
4000,open_addressing,insert,1,43,0.000065797,0,"load_factor=0.7000;total_probes=8240;max_cluster=54","INOVAI-NB-8","CPU info","GCC 13.3.0","2025-10-06 17:39:37"
4000,chaining,insert,2,44,0.000042505,0,"load_factor=0.7000;collisions=881;max_chain=5","INOVAI-NB-8","CPU info","GCC 13.3.0","2025-10-06 17:39:37"
4000,open_addressing,insert,2,44,0.000067321,0,"load_factor=0.7000;total_probes=8526;max_cluster=71","INOVAI-NB-8","CPU info","GCC 13.3.0","2025-10-06 17:39:37"
4000,chaining,insert,3,45,0.000041530,0,"load_factor=0.7000;collisions=915;max_chain=5","INOVAI-NB-8","CPU info","GCC 13.3.0","2025-10-06 17:39:37"
4000,open_addressing,insert,3,45,0.000066729,0,"load_factor=0.7000;total_probes=8537;max_cluster=56","INOVAI-NB-8","CPU info","GCC 13.3.0","2025-10-06 17:39:37"
4000,chaining,insert,4,46,0.000050676,0,"load_factor=0.7000;collisions=916;max_chain=5","INOVAI-NB-8","CPU info","GCC 13.3.0","2025-10-06 17:39:37"
4000,open_addressing,insert,4,46,0.000067549,0,"load_factor=0.7000;total_probes=8501;max_cluster=65","INOVAI-NB-8","CPU info","GCC 13.3.0","2025-10-06 17:39:37"
5000,chaining,insert,0,42,0.000051220,0,"load_factor=0.7001;collisions=1111;max_chain=7","INOVAI-NB-8","CPU info","GCC 13.3.0","2025-10-06 17:39:37"
5000,open_addressing,insert,0,42,0.000085237,0,"load_factor=0.7001;total_probes=11739;max_cluster=132","INOVAI-NB-8","CPU info","GCC 13.3.0","2025-10-06 17:39:37"
