size,algorithm,data_type,run_index,seed,time_s,comparisons,metadata,hostname,cpu_info,compiler_info,timestamp
3000,double_hashing,insert,3,45,0.000055334,5097,"load_factor=0.7001;probes=5097;avg_probes=1.70;max_cluster=28","INOVAI-NB-8","CPU info","GCC 13.3.0","2025-10-06 17:55:23"
3000,linear_probing,insert,4,46,0.000047973,6513,"load_factor=0.7001;probes=6513;avg_probes=2.17;max_cluster=63","INOVAI-NB-8","CPU info","GCC 13.3.0","2025-10-06 17:55:23"
3000,double_hashing,insert,4,46,0.000064505,9594,"load_factor=0.6999;probes=9594;avg_probes=1.77;max_cluster=19","INOVAI-NB-8","CPU info","GCC 13.3.0","2025-10-06 17:55:23"
4000,linear_probing,insert,0,42,0.000064238,9405,"load_factor=0.7000;probes=9405;avg_probes=2.35;max_cluster=120","INOVAI-NB-8","CPU info","GCC 13.3.0","2025-10-06 17:55:23"
4000,double_hashing,insert,0,42,0.000075077,7032,"load_factor=0.7000;probes=7032;avg_probes=1.76;max_cluster=25","INOVAI-NB-8","CPU info","GCC 13.3.0","2025-10-06 17:55:23"
4000,linear_probing,insert,1,43,0.000061813,8240,"load_factor=0.7000;probes=8240;avg_probes=2.06;max_cluster=54","INOVAI-NB-8","CPU info","GCC 13.3.0","2025-10-06 17:55:23"
4000,double_hashing,insert,1,43,0.000073565,6847,"load_factor=0.7000;probes=6847;avg_probes=1.71;max_cluster=36","INOVAI-NB-8","CPU info","GCC 13.3.0","2025-10-06 17:55:23"
4000,linear_probing,insert,2,44,0.000063654,8526,"load_factor=0.7000;probes=8526;avg_probes=2.13;max_cluster=71","INOVAI-NB-8","CPU info","GCC 13.3.0","2025-10-06 17:55:23"
4000,double_hashing,insert,2,44,0.000086080,12738,"load_factor=0.6999;probes=12738;avg_probes=1.76;max_cluster=19","INOVAI-NB-8","CPU info","GCC 13.3.0","2025-10-06 17:55:23"
4000,linear_probing,insert,3,45,0.000063735,8537,"load_factor=0.7000;probes=8537;avg_probes=2.13;max_cluster=56","INOVAI-NB-8","CPU info","GCC 13.3.0","2025-10-06 17:55:23"
4000,double_hashing,insert,3,45,0.000074464,6988,"load_factor=0.7000;probes=6988;avg_probes=1.75;max_cluster=23","INOVAI-NB-8","CPU info","GCC 13.3.0","2025-10-06 17:55:23"
4000,linear_probing,insert,4,46,0.000063958,8501,"load_factor=0.7000;probes=8501;avg_probes=2.13;max_cluster=65","INOVAI-NB-8","CPU info","GCC 13.3.0","2025-10-06 17:55:23"
4000,double_hashing,insert,4,46,0.000075852,7079,"load_factor=0.7000;probes=7079;avg_probes=1.77;max_cluster=17","INOVAI-NB-8","CPU info","GCC 13.3.0","2025-10-06 17:55:23"
5000,linear_probing,insert,0,42,0.000082663,11739,"load_factor=0.7001;probes=11739;avg_probes=2.35;max_cluster=132","INOVAI-NB-8","CPU info","GCC 13.3.0","2025-10-06 17:55:23"
5000,double_hashing,insert,0,42,0.000123507,22990,"load_factor=0.6998;probes=22990;avg_probes=1.74;max_cluster=24","INOVAI-NB-8","CPU info","GCC 13.3.0","2025-10-06 17:55:23"
5000,linear_probing,insert,1,43,0.000081165,10546,"load_factor=0.7001;probes=10546;avg_probes=2.11;max_cluster=60","INOVAI-NB-8","CPU info","GCC 13.3.0","2025-10-06 17:55:23"
5000,double_hashing,insert,1,43,0.000096225,8526,"load_factor=0.7001;probes=8526;avg_probes=1.71;max_cluster=17","INOVAI-NB-8","CPU info","GCC 13.3.0","2025-10-06 17:55:23"
5000,linear_probing,insert,2,44,0.000080655,10655,"load_factor=0.7001;probes=10655;avg_probes=2.13;max_cluster=71","INOVAI-NB-8","CPU info","GCC 13.3.0","2025-10-06 17:55:23"
5000,double_hashing,insert,2,44,0.000094507,8730,"load_factor=0.7001;probes=8730;avg_probes=1.75;max_cluster=25","INOVAI-NB-8","CPU info","GCC 13.3.0","2025-10-06 17:55:23"
5000,linear_probing,insert,3,45,0.000079886,10841,"load_factor=0.7001;probes=10841;avg_probes=2.17;max_cluster=59","INOVAI-NB-8","CPU info","GCC 13.3.0","2025-10-06 17:55:23"
5000,double_hashing,insert,3,45,0.000095680,8772,"load_factor=0.7001;probes=8772;avg_probes=1.75;max_cluster=24","INOVAI-NB-8","CPU info","GCC 13.3.0","2025-10-06 17:55:23"
5000,linear_probing,insert,4,46,0.000079236,10541,"load_factor=0.7001;probes=10541;avg_probes=2.11;max_cluster=91","INOVAI-NB-8","CPU info","GCC 13.3.0","2025-10-06 17:55:23"
5000,double_hashing,insert,4,46,0.000102140,8662,"load_factor=0.7001;probes=8662;avg_probes=1.73;max_cluster=22","INOVAI-NB-8","CPU info","GCC 13.3.0","2025-10-06 17:55:23"
6000,linear_probing,insert,0,42,0.000097052,13852,"load_factor=0.7000;probes=13852;avg_probes=2.31;max_cluster=98","INOVAI-NB-8","CPU info","GCC 13.3.0","2025-10-06 17:55:23"
6000,double_hashing,insert,0,42,0.000103602,10509,"load_factor=0.7000;probes=10509;avg_probes=1.75;max_cluster=22","INOVAI-NB-8","CPU info","GCC 13.3.0","2025-10-06 17:55:23"
6000,linear_probing,insert,1,43,0.000095174,12541,"load_factor=0.7000;probes=12541;avg_probes=2.09;max_cluster=66","INOVAI-NB-8","CPU info","GCC 13.3.0","2025-10-06 17:55:23"
6000,double_hashing,insert,1,43,0.000116148,10444,"load_factor=0.7000;probes=10444;avg_probes=1.74;max_cluster=25","INOVAI-NB-8","CPU info","GCC 13.3.0","2025-10-06 17:55:23"
6000,linear_probing,insert,2,44,0.000102064,12843,"load_factor=0.7000;probes=12843;avg_probes=2.14;max_cluster=89","INOVAI-NB-8","CPU info","GCC 13.3.0","2025-10-06 17:55:23"
6000,double_hashing,insert,2,44,0.000109061,10330,"load_factor=0.7000;probes=10330;avg_probes=1.72;max_cluster=23","INOVAI-NB-8","CPU info","GCC 13.3.0","2025-10-06 17:55:23"
6000,linear_probing,insert,3,45,0.000099888,12897,"load_factor=0.7000;probes=12897;avg_probes=2.15;max_cluster=70","INOVAI-NB-8","CPU info","GCC 13.3.0","2025-10-06 17:55:23"
6000,double_hashing,insert,3,45,0.000108734,10467,"load_factor=0.7000;probes=10467;avg_probes=1.74;max_cluster=25","INOVAI-NB-8","CPU info","GCC 13.3.0","2025-10-06 17:55:23"
6000,linear_probing,insert,4,46,0.000101381,12946,"load_factor=0.7000;probes=12946;avg_probes=2.16;max_cluster=71","INOVAI-NB-8","CPU info","GCC 13.3.0","2025-10-06 17:55:23"
6000,double_hashing,insert,4,46,0.000109290,10436,"load_factor=0.7000;probes=10436;avg_probes=1.74;max_cluster=21","INOVAI-NB-8","CPU info","GCC 13.3.0","2025-10-06 17:55:23"
7000,linear_probing,insert,0,42,0.000116257,15944,"load_factor=0.7000;probes=15944;avg_probes=2.28;max_cluster=103","INOVAI-NB-8","CPU info","GCC 13.3.0","2025-10-06 17:55:23"
7000,double_hashing,insert,0,42,0.000134999,12272,"load_factor=0.7000;probes=12272;avg_probes=1.75;max_cluster=24","INOVAI-NB-8","CPU info","GCC 13.3.0","2025-10-06 17:55:23"
7000,linear_probing,insert,1,43,0.000117380,14846,"load_factor=0.7000;probes=14846;avg_probes=2.12;max_cluster=89","INOVAI-NB-8","CPU info","GCC 13.3.0","2025-10-06 17:55:23"
7000,double_hashing,insert,1,43,0.000139461,12234,"load_factor=0.7000;probes=12234;avg_probes=1.75;max_cluster=24","INOVAI-NB-8","CPU info","GCC 13.3.0","2025-10-06 17:55:23"
7000,linear_probing,insert,2,44,0.000117118,14972,"load_factor=0.7000;probes=14972;avg_probes=2.14;max_cluster=69","INOVAI-NB-8","CPU info","GCC 13.3.0","2025-10-06 17:55:23"
7000,double_hashing,insert,2,44,0.000305041,32091,"load_factor=0.6998;probes=32091;avg_probes=1.73;max_cluster=27","INOVAI-NB-8","CPU info","GCC 13.3.0","2025-10-06 17:55:23"
7000,linear_probing,insert,3,45,0.000117541,15601,"load_factor=0.7000;probes=15601;avg_probes=2.23;max_cluster=54","INOVAI-NB-8","CPU info","GCC 13.3.0","2025-10-06 17:55:23"
7000,double_hashing,insert,3,45,0.000137755,12150,"load_factor=0.7000;probes=12150;avg_probes=1.74;max_cluster=28","INOVAI-NB-8","CPU info","GCC 13.3.0","2025-10-06 17:55:23"
7000,linear_probing,insert,4,46,0.000126202,14647,"load_factor=0.7000;probes=14647;avg_probes=2.09;max_cluster=59","INOVAI-NB-8","CPU info","GCC 13.3.0","2025-10-06 17:55:23"
7000,double_hashing,insert,4,46,0.000160928,12289,"load_factor=0.7000;probes=12289;avg_probes=1.76;max_cluster=19","INOVAI-NB-8","CPU info","GCC 13.3.0","2025-10-06 17:55:23"
8000,linear_probing,insert,0,42,0.000140698,17920,"load_factor=0.7000;probes=17920;avg_probes=2.24;max_cluster=76","INOVAI-NB-8","CPU info","GCC 13.3.0","2025-10-06 17:55:23"
8000,double_hashing,insert,0,42,0.000163485,13961,"load_factor=0.7000;probes=13961;avg_probes=1.75;max_cluster=29","INOVAI-NB-8","CPU info","GCC 13.3.0","2025-10-06 17:55:23"
8000,linear_probing,insert,1,43,0.000177249,17089,"load_factor=0.7000;probes=17089;avg_probes=2.14;max_cluster=74","INOVAI-NB-8","CPU info","GCC 13.3.0","2025-10-06 17:55:23"
8000,double_hashing,insert,1,43,0.000166071,13890,"load_factor=0.7000;probes=13890;avg_probes=1.74;max_cluster=28","INOVAI-NB-8","CPU info","GCC 13.3.0","2025-10-06 17:55:23"
8000,linear_probing,insert,2,44,0.000134358,17264,"load_factor=0.7000;probes=17264;avg_probes=2.16;max_cluster=62","INOVAI-NB-8","CPU info","GCC 13.3.0","2025-10-06 17:55:23"
8000,double_hashing,insert,2,44,0.000163916,13930,"load_factor=0.7000;probes=13930;avg_probes=1.74;max_cluster=28","INOVAI-NB-8","CPU info","GCC 13.3.0","2025-10-06 17:55:23"
8000,linear_probing,insert,3,45,0.000141951,17804,"load_factor=0.7000;probes=17804;avg_probes=2.23;max_cluster=57","INOVAI-NB-8","CPU info","GCC 13.3.0","2025-10-06 17:55:23"
8000,double_hashing,insert,3,45,0.000166505,14004,"load_factor=0.7000;probes=14004;avg_probes=1.75;max_cluster=18","INOVAI-NB-8","CPU info","GCC 13.3.0","2025-10-06 17:55:23"
8000,linear_probing,insert,4,46,0.000139344,17171,"load_factor=0.7000;probes=17171;avg_probes=2.15;max_cluster=64","INOVAI-NB-8","CPU info","GCC 13.3.0","2025-10-06 17:55:23"
8000,double_hashing,insert,4,46,0.000164430,13934,"load_factor=0.7000;probes=13934;avg_probes=1.74;max_cluster=20","INOVAI-NB-8","CPU info","GCC 13.3.0","2025-10-06 17:55:23"
9000,linear_probing,insert,0,42,0.000157108,20843,"load_factor=0.7000;probes=20843;avg_probes=2.32;max_cluster=117","INOVAI-NB-8","CPU info","GCC 13.3.0","2025-10-06 17:55:23"
9000,double_hashing,insert,0,42,0.000181282,15705,"load_factor=0.7000;probes=15705;avg_probes=1.75;max_cluster=32","INOVAI-NB-8","CPU info","GCC 13.3.0","2025-10-06 17:55:23"
9000,linear_probing,insert,1,43,0.000160991,19261,"load_factor=0.7000;probes=19261;avg_probes=2.14;max_cluster=109","INOVAI-NB-8","CPU info","GCC 13.3.0","2025-10-06 17:55:23"
9000,double_hashing,insert,1,43,0.000193191,15604,"load_factor=0.7000;probes=15604;avg_probes=1.73;max_cluster=24","INOVAI-NB-8","CPU info","GCC 13.3.0","2025-10-06 17:55:23"
9000,linear_probing,insert,2,44,0.000210169,18949,"load_factor=0.7000;probes=18949;avg_probes=2.11;max_cluster=77","INOVAI-NB-8","CPU info","GCC 13.3.0","2025-10-06 17:55:23"
9000,double_hashing,insert,2,44,0.000295340,15922,"load_factor=0.7000;probes=15922;avg_probes=1.77;max_cluster=24","INOVAI-NB-8","CPU info","GCC 13.3.0","2025-10-06 17:55:23"
9000,linear_probing,insert,3,45,0.000151653,20073,"load_factor=0.7000;probes=20073;avg_probes=2.23;max_cluster=61","INOVAI-NB-8","CPU info","GCC 13.3.0","2025-10-06 17:55:23"
9000,double_hashing,insert,3,45,0.000178930,15778,"load_factor=0.7000;probes=15778;avg_probes=1.75;max_cluster=25","INOVAI-NB-8","CPU info","GCC 13.3.0","2025-10-06 17:55:23"
9000,linear_probing,insert,4,46,0.000151199,19474,"load_factor=0.7000;probes=19474;avg_probes=2.16;max_cluster=54","INOVAI-NB-8","CPU info","GCC 13.3.0","2025-10-06 17:55:23"
9000,double_hashing,insert,4,46,0.000186219,15582,"load_factor=0.7000;probes=15582;avg_probes=1.73;max_cluster=26","INOVAI-NB-8","CPU info","GCC 13.3.0","2025-10-06 17:55:23"
10000,linear_probing,insert,0,42,0.000186142,22606,"load_factor=0.7000;probes=22606;avg_probes=2.26;max_cluster=74","INOVAI-NB-8","CPU info","GCC 13.3.0","2025-10-06 17:55:23"
10000,double_hashing,insert,0,42,0.000226303,17371,"load_factor=0.7000;probes=17371;avg_probes=1.74;max_cluster=25","INOVAI-NB-8","CPU info","GCC 13.3.0","2025-10-06 17:55:23"
10000,linear_probing,insert,1,43,0.000175295,21200,"load_factor=0.7000;probes=21200;avg_probes=2.12;max_cluster=64","INOVAI-NB-8","CPU info","GCC 13.3.0","2025-10-06 17:55:23"
10000,double_hashing,insert,1,43,0.000198351,17426,"load_factor=0.7000;probes=17426;avg_probes=1.74;max_cluster=24","INOVAI-NB-8","CPU info","GCC 13.3.0","2025-10-06 17:55:23"
10000,linear_probing,insert,2,44,0.000174934,21165,"load_factor=0.7000;probes=21165;avg_probes=2.12;max_cluster=72","INOVAI-NB-8","CPU info","GCC 13.3.0","2025-10-06 17:55:23"
10000,double_hashing,insert,2,44,0.000199545,17432,"load_factor=0.7000;probes=17432;avg_probes=1.74;max_cluster=29","INOVAI-NB-8","CPU info","GCC 13.3.0","2025-10-06 17:55:23"
10000,linear_probing,insert,3,45,0.000174440,21704,"load_factor=0.7000;probes=21704;avg_probes=2.17;max_cluster=62","INOVAI-NB-8","CPU info","GCC 13.3.0","2025-10-06 17:55:23"
10000,double_hashing,insert,3,45,0.000205109,17475,"load_factor=0.7000;probes=17475;avg_probes=1.75;max_cluster=23","INOVAI-NB-8","CPU info","GCC 13.3.0","2025-10-06 17:55:23"
10000,linear_probing,insert,4,46,0.000212899,21379,"load_factor=0.7000;probes=21379;avg_probes=2.14;max_cluster=77","INOVAI-NB-8","CPU info","GCC 13.3.0","2025-10-06 17:55:23"
10000,double_hashing,insert,4,46,0.000217943,17435,"load_factor=0.7000;probes=17435;avg_probes=1.74;max_cluster=27","INOVAI-NB-8","CPU info","GCC 13.3.0","2025-10-06 17:55:23"
20000,linear_probing,insert,0,42,0.000403976,43485,"load_factor=0.7000;probes=43485;avg_probes=2.17;max_cluster=85","INOVAI-NB-8","CPU info","GCC 13.3.0","2025-10-06 17:55:23"
20000,double_hashing,insert,0,42,0.000396729,34588,"load_factor=0.7000;probes=34588;avg_probes=1.73;max_cluster=31","INOVAI-NB-8","CPU info","GCC 13.3.0","2025-10-06 17:55:23"
20000,linear_probing,insert,1,43,0.000362900,43413,"load_factor=0.7000;probes=43413;avg_probes=2.17;max_cluster=84","INOVAI-NB-8","CPU info","GCC 13.3.0","2025-10-06 17:55:23"
20000,double_hashing,insert,1,43,0.000437395,34797,"load_factor=0.7000;probes=34797;avg_probes=1.74;max_cluster=26","INOVAI-NB-8","CPU info","GCC 13.3.0","2025-10-06 17:55:23"
20000,linear_probing,insert,2,44,0.000393174,42825,"load_factor=0.7000;probes=42825;avg_probes=2.14;max_cluster=95","INOVAI-NB-8","CPU info","GCC 13.3.0","2025-10-06 17:55:23"
20000,double_hashing,insert,2,44,0.000421022,34449,"load_factor=0.7000;probes=34449;avg_probes=1.72;max_cluster=26","INOVAI-NB-8","CPU info","GCC 13.3.0","2025-10-06 17:55:23"
20000,linear_probing,insert,3,45,0.000348395,43351,"load_factor=0.7000;probes=43351;avg_probes=2.17;max_cluster=82","INOVAI-NB-8","CPU info","GCC 13.3.0","2025-10-06 17:55:23"
20000,double_hashing,insert,3,45,0.000413425,34619,"load_factor=0.7000;probes=34619;avg_probes=1.73;max_cluster=23","INOVAI-NB-8","CPU info","GCC 13.3.0","2025-10-06 17:55:23"
20000,linear_probing,insert,4,46,0.000403274,43183,"load_factor=0.7000;probes=43183;avg_probes=2.16;max_cluster=71","INOVAI-NB-8","CPU info","GCC 13.3.0","2025-10-06 17:55:23"
20000,double_hashing,insert,4,46,0.000376084,34620,"load_factor=0.7000;probes=34620;avg_probes=1.73;max_cluster=27","INOVAI-NB-8","CPU info","GCC 13.3.0","2025-10-06 17:55:23"
