size,algorithm,run_index,seed,time_s,cutoff,block_size,min_val,max_val,cpu_model,cpu_cores,compiler_version,os_info,timestamp,hostname
4,strassen,2,44,0.00000036,64,64,-100,100,"Unknown",22,"GCC 13.3.0","Linux 6.6.87.2-microsoft-standard-WSL2","2025-09-19 15:36:04","INOVAI-NB-8"
8,strassen,0,42,0.00000391,64,64,-100,100,"Unknown",22,"GCC 13.3.0","Linux 6.6.87.2-microsoft-standard-WSL2","2025-09-19 15:36:04","INOVAI-NB-8"
8,strassen,1,43,0.00000366,64,64,-100,100,"Unknown",22,"GCC 13.3.0","Linux 6.6.87.2-microsoft-standard-WSL2","2025-09-19 15:36:04","INOVAI-NB-8"
8,strassen,2,44,0.00000322,64,64,-100,100,"Unknown",22,"GCC 13.3.0","Linux 6.6.87.2-microsoft-standard-WSL2","2025-09-19 15:36:04","INOVAI-NB-8"
16,strassen,0,42,0.00017275,64,64,-100,100,"Unknown",22,"GCC 13.3.0","Linux 6.6.87.2-microsoft-standard-WSL2","2025-09-19 15:36:04","INOVAI-NB-8"
16,strassen,1,43,0.00002634,64,64,-100,100,"Unknown",22,"GCC 13.3.0","Linux 6.6.87.2-microsoft-standard-WSL2","2025-09-19 15:36:04","INOVAI-NB-8"
16,strassen,2,44,0.00002610,64,64,-100,100,"Unknown",22,"GCC 13.3.0","Linux 6.6.87.2-microsoft-standard-WSL2","2025-09-19 15:36:04","INOVAI-NB-8"
32,strassen,0,42,0.00034560,64,64,-100,100,"Unknown",22,"GCC 13.3.0","Linux 6.6.87.2-microsoft-standard-WSL2","2025-09-19 15:36:04","INOVAI-NB-8"
32,strassen,1,43,0.00037474,64,64,-100,100,"Unknown",22,"GCC 13.3.0","Linux 6.6.87.2-microsoft-standard-WSL2","2025-09-19 15:36:04","INOVAI-NB-8"
32,strassen,2,44,0.00039549,64,64,-100,100,"Unknown",22,"GCC 13.3.0","Linux 6.6.87.2-microsoft-standard-WSL2","2025-09-19 15:36:04","INOVAI-NB-8"
64,strassen,0,42,0.00189762,64,64,-100,100,"Unknown",22,"GCC 13.3.0","Linux 6.6.87.2-microsoft-standard-WSL2","2025-09-19 15:36:04","INOVAI-NB-8"
64,strassen,1,43,0.00178771,64,64,-100,100,"Unknown",22,"GCC 13.3.0","Linux 6.6.87.2-microsoft-standard-WSL2","2025-09-19 15:36:04","INOVAI-NB-8"
64,strassen,2,44,0.00173254,64,64,-100,100,"Unknown",22,"GCC 13.3.0","Linux 6.6.87.2-microsoft-standard-WSL2","2025-09-19 15:36:04","INOVAI-NB-8"
128,strassen,0,42,0.01315550,64,64,-100,100,"Unknown",22,"GCC 13.3.0","Linux 6.6.87.2-microsoft-standard-WSL2","2025-09-19 15:36:04","INOVAI-NB-8"
128,strassen,1,43,0.01286859,64,64,-100,100,"Unknown",22,"GCC 13.3.0","Linux 6.6.87.2-microsoft-standard-WSL2","2025-09-19 15:36:04","INOVAI-NB-8"
128,strassen,2,44,0.01434196,64,64,-100,100,"Unknown",22,"GCC 13.3.0","Linux 6.6.87.2-microsoft-standard-WSL2","2025-09-19 15:36:04","INOVAI-NB-8"
256,strassen,0,42,0.09434149,64,64,-100,100,"Unknown",22,"GCC 13.3.0","Linux 6.6.87.2-microsoft-standard-WSL2","2025-09-19 15:36:04","INOVAI-NB-8"
256,strassen,1,43,0.09527124,64,64,-100,100,"Unknown",22,"GCC 13.3.0","Linux 6.6.87.2-microsoft-standard-WSL2","2025-09-19 15:36:04","INOVAI-NB-8"
