size,algorithm,input_pattern,run_index,seed,time_s,min_val,max_val,cpu_model,cpu_cores,compiler_version,os_info,timestamp,hostname
2500,insertion_sort,reverse,2,44,0.00084804,0,100000,"Unknown",22,"GCC 13.3.0","Linux 6.6.87.2-microsoft-standard-WSL2","2025-09-19 15:36:05","INOVAI-NB-8"
5000,insertion_sort,reverse,0,42,0.00374097,0,100000,"Unknown",22,"GCC 13.3.0","Linux 6.6.87.2-microsoft-standard-WSL2","2025-09-19 15:36:05","INOVAI-NB-8"
5000,insertion_sort,reverse,1,43,0.00357898,0,100000,"Unknown",22,"GCC 13.3.0","Linux 6.6.87.2-microsoft-standard-WSL2","2025-09-19 15:36:05","INOVAI-NB-8"
5000,insertion_sort,reverse,2,44,0.00342766,0,100000,"Unknown",22,"GCC 13.3.0","Linux 6.6.87.2-microsoft-standard-WSL2","2025-09-19 15:36:05","INOVAI-NB-8"
7500,insertion_sort,reverse,0,42,0.00876962,0,100000,"Unknown",22,"GCC 13.3.0","Linux 6.6.87.2-microsoft-standard-WSL2","2025-09-19 15:36:05","INOVAI-NB-8"
7500,insertion_sort,reverse,1,43,0.00725759,0,100000,"Unknown",22,"GCC 13.3.0","Linux 6.6.87.2-microsoft-standard-WSL2","2025-09-19 15:36:05","INOVAI-NB-8"
7500,insertion_sort,reverse,2,44,0.00768218,0,100000,"Unknown",22,"GCC 13.3.0","Linux 6.6.87.2-microsoft-standard-WSL2","2025-09-19 15:36:05","INOVAI-NB-8"
10000,insertion_sort,reverse,0,42,0.01367806,0,100000,"Unknown",22,"GCC 13.3.0","Linux 6.6.87.2-microsoft-standard-WSL2","2025-09-19 15:36:05","INOVAI-NB-8"
10000,insertion_sort,reverse,1,43,0.01354344,0,100000,"Unknown",22,"GCC 13.3.0","Linux 6.6.87.2-microsoft-standard-WSL2","2025-09-19 15:36:05","INOVAI-NB-8"
10000,insertion_sort,reverse,2,44,0.01365344,0,100000,"Unknown",22,"GCC 13.3.0","Linux 6.6.87.2-microsoft-standard-WSL2","2025-09-19 15:36:05","INOVAI-NB-8"
100,quick_sort,reverse,0,42,0.00002245,0,100000,"Unknown",22,"GCC 13.3.0","Linux 6.6.87.2-microsoft-standard-WSL2","2025-09-19 15:36:05","INOVAI-NB-8"
100,quick_sort,reverse,1,43,0.00000266,0,100000,"Unknown",22,"GCC 13.3.0","Linux 6.6.87.2-microsoft-standard-WSL2","2025-09-19 15:36:05","INOVAI-NB-8"
100,quick_sort,reverse,2,44,0.00000239,0,100000,"Unknown",22,"GCC 13.3.0","Linux 6.6.87.2-microsoft-standard-WSL2","2025-09-19 15:36:05","INOVAI-NB-8"
500,quick_sort,reverse,0,42,0.00004210,0,100000,"Unknown",22,"GCC 13.3.0","Linux 6.6.87.2-microsoft-standard-WSL2","2025-09-19 15:36:05","INOVAI-NB-8"
500,quick_sort,reverse,1,43,0.00004152,0,100000,"Unknown",22,"GCC 13.3.0","Linux 6.6.87.2-microsoft-standard-WSL2","2025-09-19 15:36:05","INOVAI-NB-8"
500,quick_sort,reverse,2,44,0.00004178,0,100000,"Unknown",22,"GCC 13.3.0","Linux 6.6.87.2-microsoft-standard-WSL2","2025-09-19 15:36:05","INOVAI-NB-8"
1000,quick_sort,reverse,0,42,0.00038312,0,100000,"Unknown",22,"GCC 13.3.0","Linux 6.6.87.2-microsoft-standard-WSL2","2025-09-19 15:36:05","INOVAI-NB-8"
1000,quick_sort,reverse,1,43,0.00024563,0,100000,"Unknown",22,"GCC 13.3.0","Linux 6.6.87.2-microsoft-standard-WSL2","2025-09-19 15:36:05","INOVAI-NB-8"
1000,quick_sort,reverse,2,44,0.00015721,0,100000,"Unknown",22,"GCC 13.3.0","Linux 6.6.87.2-microsoft-standard-WSL2","2025-09-19 15:36:05","INOVAI-NB-8"
2500,quick_sort,reverse,0,42,0.00123688,0,100000,"Unknown",22,"GCC 13.3.0","Linux 6.6.87.2-microsoft-standard-WSL2","2025-09-19 15:36:05","INOVAI-NB-8"
2500,quick_sort,reverse,1,43,0.00127618,0,100000,"Unknown",22,"GCC 13.3.0","Linux 6.6.87.2-microsoft-standard-WSL2","2025-09-19 15:36:05","INOVAI-NB-8"
2500,quick_sort,reverse,2,44,0.00106728,0,100000,"Unknown",22,"GCC 13.3.0","Linux 6.6.87.2-microsoft-standard-WSL2","2025-09-19 15:36:05","INOVAI-NB-8"
5000,quick_sort,reverse,0,42,0.00783266,0,100000,"Unknown",22,"GCC 13.3.0","Linux 6.6.87.2-microsoft-standard-WSL2","2025-09-19 15:36:05","INOVAI-NB-8"
5000,quick_sort,reverse,1,43,0.00415852,0,100000,"Unknown",22,"GCC 13.3.0","Linux 6.6.87.2-microsoft-standard-WSL2","2025-09-19 15:36:05","INOVAI-NB-8"
5000,quick_sort,reverse,2,44,0.00393350,0,100000,"Unknown",22,"GCC 13.3.0","Linux 6.6.87.2-microsoft-standard-WSL2","2025-09-19 15:36:05","INOVAI-NB-8"
7500,quick_sort,reverse,0,42,0.01023744,0,100000,"Unknown",22,"GCC 13.3.0","Linux 6.6.87.2-microsoft-standard-WSL2","2025-09-19 15:36:05","INOVAI-NB-8"
7500,quick_sort,reverse,1,43,0.00881773,0,100000,"Unknown",22,"GCC 13.3.0","Linux 6.6.87.2-microsoft-standard-WSL2","2025-09-19 15:36:05","INOVAI-NB-8"
7500,quick_sort,reverse,2,44,0.00923203,0,100000,"Unknown",22,"GCC 13.3.0","Linux 6.6.87.2-microsoft-standard-WSL2","2025-09-19 15:36:05","INOVAI-NB-8"
10000,quick_sort,reverse,0,42,0.01590549,0,100000,"Unknown",22,"GCC 13.3.0","Linux 6.6.87.2-microsoft-standard-WSL2","2025-09-19 15:36:05","INOVAI-NB-8"
10000,quick_sort,reverse,1,43,0.01622459,0,100000,"Unknown",22,"GCC 13.3.0","Linux 6.6.87.2-microsoft-standard-WSL2","2025-09-19 15:36:05","INOVAI-NB-8"
10000,quick_sort,reverse,2,44,0.01633420,0,100000,"Unknown",22,"GCC 13.3.0","Linux 6.6.87.2-microsoft-standard-WSL2","2025-09-19 15:36:05","INOVAI-NB-8"
100,merge_sort,reverse,0,42,0.00000286,0,100000,"Unknown",22,"GCC 13.3.0","Linux 6.6.87.2-microsoft-standard-WSL2","2025-09-19 15:36:05","INOVAI-NB-8"
100,merge_sort,reverse,1,43,0.00000133,0,100000,"Unknown",22,"GCC 13.3.0","Linux 6.6.87.2-microsoft-standard-WSL2","2025-09-19 15:36:05","INOVAI-NB-8"
100,merge_sort,reverse,2,44,0.00000121,0,100000,"Unknown",22,"GCC 13.3.0","Linux 6.6.87.2-microsoft-standard-WSL2","2025-09-19 15:36:05","INOVAI-NB-8"
500,merge_sort,reverse,0,42,0.00000748,0,100000,"Unknown",22,"GCC 13.3.0","Linux 6.6.87.2-microsoft-standard-WSL2","2025-09-19 15:36:05","INOVAI-NB-8"
500,merge_sort,reverse,1,43,0.00000583,0,100000,"Unknown",22,"GCC 13.3.0","Linux 6.6.87.2-microsoft-standard-WSL2","2025-09-19 15:36:05","INOVAI-NB-8"
500,merge_sort,reverse,2,44,0.00000560,0,100000,"Unknown",22,"GCC 13.3.0","Linux 6.6.87.2-microsoft-standard-WSL2","2025-09-19 15:36:05","INOVAI-NB-8"
1000,merge_sort,reverse,0,42,0.00001271,0,100000,"Unknown",22,"GCC 13.3.0","Linux 6.6.87.2-microsoft-standard-WSL2","2025-09-19 15:36:05","INOVAI-NB-8"
1000,merge_sort,reverse,1,43,0.00001169,0,100000,"Unknown",22,"GCC 13.3.0","Linux 6.6.87.2-microsoft-standard-WSL2","2025-09-19 15:36:05","INOVAI-NB-8"
1000,merge_sort,reverse,2,44,0.00001156,0,100000,"Unknown",22,"GCC 13.3.0","Linux 6.6.87.2-microsoft-standard-WSL2","2025-09-19 15:36:05","INOVAI-NB-8"
2500,merge_sort,reverse,0,42,0.00003307,0,100000,"Unknown",22,"GCC 13.3.0","Linux 6.6.87.2-microsoft-standard-WSL2","2025-09-19 15:36:05","INOVAI-NB-8"
2500,merge_sort,reverse,1,43,0.00003071,0,100000,"Unknown",22,"GCC 13.3.0","Linux 6.6.87.2-microsoft-standard-WSL2","2025-09-19 15:36:05","INOVAI-NB-8"
2500,merge_sort,reverse,2,44,0.00003053,0,100000,"Unknown",22,"GCC 13.3.0","Linux 6.6.87.2-microsoft-standard-WSL2","2025-09-19 15:36:05","INOVAI-NB-8"
5000,merge_sort,reverse,0,42,0.00006333,0,100000,"Unknown",22,"GCC 13.3.0","Linux 6.6.87.2-microsoft-standard-WSL2","2025-09-19 15:36:05","INOVAI-NB-8"
5000,merge_sort,reverse,1,43,0.00006203,0,100000,"Unknown",22,"GCC 13.3.0","Linux 6.6.87.2-microsoft-standard-WSL2","2025-09-19 15:36:05","INOVAI-NB-8"
5000,merge_sort,reverse,2,44,0.00006264,0,100000,"Unknown",22,"GCC 13.3.0","Linux 6.6.87.2-microsoft-standard-WSL2","2025-09-19 15:36:05","INOVAI-NB-8"
7500,merge_sort,reverse,0,42,0.00009660,0,100000,"Unknown",22,"GCC 13.3.0","Linux 6.6.87.2-microsoft-standard-WSL2","2025-09-19 15:36:05","INOVAI-NB-8"
7500,merge_sort,reverse,1,43,0.00009407,0,100000,"Unknown",22,"GCC 13.3.0","Linux 6.6.87.2-microsoft-standard-WSL2","2025-09-19 15:36:05","INOVAI-NB-8"
7500,merge_sort,reverse,2,44,0.00009383,0,100000,"Unknown",22,"GCC 13.3.0","Linux 6.6.87.2-microsoft-standard-WSL2","2025-09-19 15:36:05","INOVAI-NB-8"
10000,merge_sort,reverse,0,42,0.00013584,0,100000,"Unknown",22,"GCC 13.3.0","Linux 6.6.87.2-microsoft-standard-WSL2","2025-09-19 15:36:05","INOVAI-NB-8"
10000,merge_sort,reverse,1,43,0.00012850,0,100000,"Unknown",22,"GCC 13.3.0","Linux 6.6.87.2-microsoft-standard-WSL2","2025-09-19 15:36:05","INOVAI-NB-8"
10000,merge_sort,reverse,2,44,0.00012731,0,100000,"Unknown",22,"GCC 13.3.0","Linux 6.6.87.2-microsoft-standard-WSL2","2025-09-19 15:36:05","INOVAI-NB-8"
