size,algorithm,input_pattern,run_index,seed,time_s,min_val,max_val,cpu_model,cpu_cores,compiler_version,os_info,timestamp,hostname
2500,insertion_sort,nearly_sorted,1,43,0.00012842,0,100000,"Unknown",22,"GCC 13.3.0","Linux 6.6.87.2-microsoft-standard-WSL2","2025-09-19 15:36:06","INOVAI-NB-8"
2500,insertion_sort,nearly_sorted,2,44,0.00010797,0,100000,"Unknown",22,"GCC 13.3.0","Linux 6.6.87.2-microsoft-standard-WSL2","2025-09-19 15:36:06","INOVAI-NB-8"
5000,insertion_sort,nearly_sorted,0,42,0.00041501,0,100000,"Unknown",22,"GCC 13.3.0","Linux 6.6.87.2-microsoft-standard-WSL2","2025-09-19 15:36:06","INOVAI-NB-8"
5000,insertion_sort,nearly_sorted,1,43,0.00041504,0,100000,"Unknown",22,"GCC 13.3.0","Linux 6.6.87.2-microsoft-standard-WSL2","2025-09-19 15:36:06","INOVAI-NB-8"
5000,insertion_sort,nearly_sorted,2,44,0.00041174,0,100000,"Unknown",22,"GCC 13.3.0","Linux 6.6.87.2-microsoft-standard-WSL2","2025-09-19 15:36:06","INOVAI-NB-8"
7500,insertion_sort,nearly_sorted,0,42,0.00087228,0,100000,"Unknown",22,"GCC 13.3.0","Linux 6.6.87.2-microsoft-standard-WSL2","2025-09-19 15:36:06","INOVAI-NB-8"
7500,insertion_sort,nearly_sorted,1,43,0.00105351,0,100000,"Unknown",22,"GCC 13.3.0","Linux 6.6.87.2-microsoft-standard-WSL2","2025-09-19 15:36:06","INOVAI-NB-8"
7500,insertion_sort,nearly_sorted,2,44,0.00092796,0,100000,"Unknown",22,"GCC 13.3.0","Linux 6.6.87.2-microsoft-standard-WSL2","2025-09-19 15:36:06","INOVAI-NB-8"
10000,insertion_sort,nearly_sorted,0,42,0.00154478,0,100000,"Unknown",22,"GCC 13.3.0","Linux 6.6.87.2-microsoft-standard-WSL2","2025-09-19 15:36:06","INOVAI-NB-8"
10000,insertion_sort,nearly_sorted,1,43,0.00158808,0,100000,"Unknown",22,"GCC 13.3.0","Linux 6.6.87.2-microsoft-standard-WSL2","2025-09-19 15:36:06","INOVAI-NB-8"
10000,insertion_sort,nearly_sorted,2,44,0.00162411,0,100000,"Unknown",22,"GCC 13.3.0","Linux 6.6.87.2-microsoft-standard-WSL2","2025-09-19 15:36:06","INOVAI-NB-8"
100,quick_sort,nearly_sorted,0,42,0.00000713,0,100000,"Unknown",22,"GCC 13.3.0","Linux 6.6.87.2-microsoft-standard-WSL2","2025-09-19 15:36:06","INOVAI-NB-8"
100,quick_sort,nearly_sorted,1,43,0.00000270,0,100000,"Unknown",22,"GCC 13.3.0","Linux 6.6.87.2-microsoft-standard-WSL2","2025-09-19 15:36:06","INOVAI-NB-8"
100,quick_sort,nearly_sorted,2,44,0.00000219,0,100000,"Unknown",22,"GCC 13.3.0","Linux 6.6.87.2-microsoft-standard-WSL2","2025-09-19 15:36:06","INOVAI-NB-8"
