size,algorithm,run_index,seed,time_s,cutoff,block_size,min_val,max_val,cpu_model,cpu_cores,compiler_version,os_info,timestamp,hostname
4,strassen,1,43,0.00000093,64,64,-1000,1000,"Unknown",22,"GCC 13.3.0","Linux 6.6.87.2-microsoft-standard-WSL2","2025-09-19 15:36:03","INOVAI-NB-8"
4,strassen,2,44,0.00000050,64,64,-1000,1000,"Unknown",22,"GCC 13.3.0","Linux 6.6.87.2-microsoft-standard-WSL2","2025-09-19 15:36:03","INOVAI-NB-8"
8,strassen,0,42,0.00000491,64,64,-1000,1000,"Unknown",22,"GCC 13.3.0","Linux 6.6.87.2-microsoft-standard-WSL2","2025-09-19 15:36:03","INOVAI-NB-8"
8,strassen,1,43,0.00000398,64,64,-1000,1000,"Unknown",22,"GCC 13.3.0","Linux 6.6.87.2-microsoft-standard-WSL2","2025-09-19 15:36:03","INOVAI-NB-8"
8,strassen,2,44,0.00000325,64,64,-1000,1000,"Unknown",22,"GCC 13.3.0","Linux 6.6.87.2-microsoft-standard-WSL2","2025-09-19 15:36:03","INOVAI-NB-8"
16,strassen,0,42,0.00015753,64,64,-1000,1000,"Unknown",22,"GCC 13.3.0","Linux 6.6.87.2-microsoft-standard-WSL2","2025-09-19 15:36:03","INOVAI-NB-8"
16,strassen,1,43,0.00002668,64,64,-1000,1000,"Unknown",22,"GCC 13.3.0","Linux 6.6.87.2-microsoft-standard-WSL2","2025-09-19 15:36:03","INOVAI-NB-8"
16,strassen,2,44,0.00002688,64,64,-1000,1000,"Unknown",22,"GCC 13.3.0","Linux 6.6.87.2-microsoft-standard-WSL2","2025-09-19 15:36:03","INOVAI-NB-8"
32,strassen,0,42,0.00021594,64,64,-1000,1000,"Unknown",22,"GCC 13.3.0","Linux 6.6.87.2-microsoft-standard-WSL2","2025-09-19 15:36:03","INOVAI-NB-8"
32,strassen,1,43,0.00021211,64,64,-1000,1000,"Unknown",22,"GCC 13.3.0","Linux 6.6.87.2-microsoft-standard-WSL2","2025-09-19 15:36:03","INOVAI-NB-8"
32,strassen,2,44,0.00021320,64,64,-1000,1000,"Unknown",22,"GCC 13.3.0","Linux 6.6.87.2-microsoft-standard-WSL2","2025-09-19 15:36:03","INOVAI-NB-8"
64,strassen,0,42,0.00185160,64,64,-1000,1000,"Unknown",22,"GCC 13.3.0","Linux 6.6.87.2-microsoft-standard-WSL2","2025-09-19 15:36:03","INOVAI-NB-8"
64,strassen,1,43,0.00182952,64,64,-1000,1000,"Unknown",22,"GCC 13.3.0","Linux 6.6.87.2-microsoft-standard-WSL2","2025-09-19 15:36:03","INOVAI-NB-8"
