size,data_structure,operation,run_index,seed,time_s,min_val,max_val,cpu_model,cpu_cores,compiler_version,os_info,timestamp,hostname
2000,heap,insert,0,42,0.00001621,0,100000,"Unknown",22,"GCC 13.3.0","Linux 6.6.87.2-microsoft-standard-WSL2","2025-09-19 15:38:48","INOVAI-NB-8"
2000,heap,insert,1,43,0.00001648,0,100000,"Unknown",22,"GCC 13.3.0","Linux 6.6.87.2-microsoft-standard-WSL2","2025-09-19 15:38:48","INOVAI-NB-8"
2000,heap,insert,2,44,0.00001640,0,100000,"Unknown",22,"GCC 13.3.0","Linux 6.6.87.2-microsoft-standard-WSL2","2025-09-19 15:38:48","INOVAI-NB-8"
3000,heap,insert,0,42,0.00002418,0,100000,"Unknown",22,"GCC 13.3.0","Linux 6.6.87.2-microsoft-standard-WSL2","2025-09-19 15:38:48","INOVAI-NB-8"
3000,heap,insert,1,43,0.00002429,0,100000,"Unknown",22,"GCC 13.3.0","Linux 6.6.87.2-microsoft-standard-WSL2","2025-09-19 15:38:48","INOVAI-NB-8"
3000,heap,insert,2,44,0.00002425,0,100000,"Unknown",22,"GCC 13.3.0","Linux 6.6.87.2-microsoft-standard-WSL2","2025-09-19 15:38:48","INOVAI-NB-8"
4000,heap,insert,0,42,0.00003166,0,100000,"Unknown",22,"GCC 13.3.0","Linux 6.6.87.2-microsoft-standard-WSL2","2025-09-19 15:38:48","INOVAI-NB-8"
4000,heap,insert,1,43,0.00003211,0,100000,"Unknown",22,"GCC 13.3.0","Linux 6.6.87.2-microsoft-standard-WSL2","2025-09-19 15:38:48","INOVAI-NB-8"
4000,heap,insert,2,44,0.00003279,0,100000,"Unknown",22,"GCC 13.3.0","Linux 6.6.87.2-microsoft-standard-WSL2","2025-09-19 15:38:48","INOVAI-NB-8"
5000,heap,insert,0,42,0.00004012,0,100000,"Unknown",22,"GCC 13.3.0","Linux 6.6.87.2-microsoft-standard-WSL2","2025-09-19 15:38:48","INOVAI-NB-8"
5000,heap,insert,1,43,0.00004084,0,100000,"Unknown",22,"GCC 13.3.0","Linux 6.6.87.2-microsoft-standard-WSL2","2025-09-19 15:38:48","INOVAI-NB-8"
5000,heap,insert,2,44,0.00004087,0,100000,"Unknown",22,"GCC 13.3.0","Linux 6.6.87.2-microsoft-standard-WSL2","2025-09-19 15:38:48","INOVAI-NB-8"
6000,heap,insert,0,42,0.00004857,0,100000,"Unknown",22,"GCC 13.3.0","Linux 6.6.87.2-microsoft-standard-WSL2","2025-09-19 15:38:48","INOVAI-NB-8"
6000,heap,insert,1,43,0.00004869,0,100000,"Unknown",22,"GCC 13.3.0","Linux 6.6.87.2-microsoft-standard-WSL2","2025-09-19 15:38:48","INOVAI-NB-8"
6000,heap,insert,2,44,0.00004898,0,100000,"Unknown",22,"GCC 13.3.0","Linux 6.6.87.2-microsoft-standard-WSL2","2025-09-19 15:38:48","INOVAI-NB-8"
7000,heap,insert,0,42,0.00005640,0,100000,"Unknown",22,"GCC 13.3.0","Linux 6.6.87.2-microsoft-standard-WSL2","2025-09-19 15:38:48","INOVAI-NB-8"
7000,heap,insert,1,43,0.00005693,0,100000,"Unknown",22,"GCC 13.3.0","Linux 6.6.87.2-microsoft-standard-WSL2","2025-09-19 15:38:48","INOVAI-NB-8"
7000,heap,insert,2,44,0.00005685,0,100000,"Unknown",22,"GCC 13.3.0","Linux 6.6.87.2-microsoft-standard-WSL2","2025-09-19 15:38:48","INOVAI-NB-8"
8000,heap,insert,0,42,0.00006398,0,100000,"Unknown",22,"GCC 13.3.0","Linux 6.6.87.2-microsoft-standard-WSL2","2025-09-19 15:38:48","INOVAI-NB-8"
8000,heap,insert,1,43,0.00007567,0,100000,"Unknown",22,"GCC 13.3.0","Linux 6.6.87.2-microsoft-standard-WSL2","2025-09-19 15:38:48","INOVAI-NB-8"
8000,heap,insert,2,44,0.00006754,0,100000,"Unknown",22,"GCC 13.3.0","Linux 6.6.87.2-microsoft-standard-WSL2","2025-09-19 15:38:48","INOVAI-NB-8"
9000,heap,insert,0,42,0.00007887,0,100000,"Unknown",22,"GCC 13.3.0","Linux 6.6.87.2-microsoft-standard-WSL2","2025-09-19 15:38:48","INOVAI-NB-8"
9000,heap,insert,1,43,0.00007900,0,100000,"Unknown",22,"GCC 13.3.0","Linux 6.6.87.2-microsoft-standard-WSL2","2025-09-19 15:38:48","INOVAI-NB-8"
9000,heap,insert,2,44,0.00008422,0,100000,"Unknown",22,"GCC 13.3.0","Linux 6.6.87.2-microsoft-standard-WSL2","2025-09-19 15:38:48","INOVAI-NB-8"
10000,heap,insert,0,42,0.00008996,0,100000,"Unknown",22,"GCC 13.3.0","Linux 6.6.87.2-microsoft-standard-WSL2","2025-09-19 15:38:48","INOVAI-NB-8"
10000,heap,insert,1,43,0.00009031,0,100000,"Unknown",22,"GCC 13.3.0","Linux 6.6.87.2-microsoft-standard-WSL2","2025-09-19 15:38:48","INOVAI-NB-8"
10000,heap,insert,2,44,0.00009127,0,100000,"Unknown",22,"GCC 13.3.0","Linux 6.6.87.2-microsoft-standard-WSL2","2025-09-19 15:38:48","INOVAI-NB-8"
1000,queue,enqueue,0,42,0.00000142,0,100000,"Unknown",22,"GCC 13.3.0","Linux 6.6.87.2-microsoft-standard-WSL2","2025-09-19 15:38:48","INOVAI-NB-8"
1000,queue,enqueue,1,43,0.00000069,0,100000,"Unknown",22,"GCC 13.3.0","Linux 6.6.87.2-microsoft-standard-WSL2","2025-09-19 15:38:48","INOVAI-NB-8"
1000,queue,enqueue,2,44,0.00000069,0,100000,"Unknown",22,"GCC 13.3.0","Linux 6.6.87.2-microsoft-standard-WSL2","2025-09-19 15:38:48","INOVAI-NB-8"
2000,queue,enqueue,0,42,0.00000163,0,100000,"Unknown",22,"GCC 13.3.0","Linux 6.6.87.2-microsoft-standard-WSL2","2025-09-19 15:38:48","INOVAI-NB-8"
2000,queue,enqueue,1,43,0.00000148,0,100000,"Unknown",22,"GCC 13.3.0","Linux 6.6.87.2-microsoft-standard-WSL2","2025-09-19 15:38:48","INOVAI-NB-8"
2000,queue,enqueue,2,44,0.00000156,0,100000,"Unknown",22,"GCC 13.3.0","Linux 6.6.87.2-microsoft-standard-WSL2","2025-09-19 15:38:48","INOVAI-NB-8"
3000,queue,enqueue,0,42,0.00000228,0,100000,"Unknown",22,"GCC 13.3.0","Linux 6.6.87.2-microsoft-standard-WSL2","2025-09-19 15:38:48","INOVAI-NB-8"
3000,queue,enqueue,1,43,0.00000203,0,100000,"Unknown",22,"GCC 13.3.0","Linux 6.6.87.2-microsoft-standard-WSL2","2025-09-19 15:38:48","INOVAI-NB-8"
3000,queue,enqueue,2,44,0.00000198,0,100000,"Unknown",22,"GCC 13.3.0","Linux 6.6.87.2-microsoft-standard-WSL2","2025-09-19 15:38:48","INOVAI-NB-8"
4000,queue,enqueue,0,42,0.00000287,0,100000,"Unknown",22,"GCC 13.3.0","Linux 6.6.87.2-microsoft-standard-WSL2","2025-09-19 15:38:48","INOVAI-NB-8"
4000,queue,enqueue,1,43,0.00000290,0,100000,"Unknown",22,"GCC 13.3.0","Linux 6.6.87.2-microsoft-standard-WSL2","2025-09-19 15:38:48","INOVAI-NB-8"
4000,queue,enqueue,2,44,0.00000277,0,100000,"Unknown",22,"GCC 13.3.0","Linux 6.6.87.2-microsoft-standard-WSL2","2025-09-19 15:38:48","INOVAI-NB-8"
5000,queue,enqueue,0,42,0.00000356,0,100000,"Unknown",22,"GCC 13.3.0","Linux 6.6.87.2-microsoft-standard-WSL2","2025-09-19 15:38:48","INOVAI-NB-8"
5000,queue,enqueue,1,43,0.00000348,0,100000,"Unknown",22,"GCC 13.3.0","Linux 6.6.87.2-microsoft-standard-WSL2","2025-09-19 15:38:48","INOVAI-NB-8"
5000,queue,enqueue,2,44,0.00000344,0,100000,"Unknown",22,"GCC 13.3.0","Linux 6.6.87.2-microsoft-standard-WSL2","2025-09-19 15:38:48","INOVAI-NB-8"
