size,algorithm,data_type,run_index,seed,time_s,comparisons,metadata,hostname,cpu_info,compiler_info,timestamp
5000,simultaneo,random,0,42,0.000001063,0,"","INOVAI-NB-8","CPU info","GCC 13.3.0","2025-10-06 15:41:41"
5000,não simultaneo,random,1,43,0.000000268,0,"","INOVAI-NB-8","CPU info","GCC 13.3.0","2025-10-06 15:41:41"
5000,simultaneo,random,1,43,0.000001066,0,"","INOVAI-NB-8","CPU info","GCC 13.3.0","2025-10-06 15:41:41"
5000,não simultaneo,random,2,44,0.000000268,0,"","INOVAI-NB-8","CPU info","GCC 13.3.0","2025-10-06 15:41:41"
5000,simultaneo,random,2,44,0.000001057,0,"","INOVAI-NB-8","CPU info","GCC 13.3.0","2025-10-06 15:41:41"
5000,não simultaneo,random,3,45,0.000000269,0,"","INOVAI-NB-8","CPU info","GCC 13.3.0","2025-10-06 15:41:41"
5000,simultaneo,random,3,45,0.000001058,0,"","INOVAI-NB-8","CPU info","GCC 13.3.0","2025-10-06 15:41:41"
5000,não simultaneo,random,4,46,0.000000266,0,"","INOVAI-NB-8","CPU info","GCC 13.3.0","2025-10-06 15:41:41"
5000,simultaneo,random,4,46,0.000001059,0,"","INOVAI-NB-8","CPU info","GCC 13.3.0","2025-10-06 15:41:41"
6000,não simultaneo,random,0,42,0.000000349,0,"","INOVAI-NB-8","CPU info","GCC 13.3.0","2025-10-06 15:41:41"
6000,simultaneo,random,0,42,0.000001279,0,"","INOVAI-NB-8","CPU info","GCC 13.3.0","2025-10-06 15:41:41"
6000,não simultaneo,random,1,43,0.000000332,0,"","INOVAI-NB-8","CPU info","GCC 13.3.0","2025-10-06 15:41:41"
6000,simultaneo,random,1,43,0.000001272,0,"","INOVAI-NB-8","CPU info","GCC 13.3.0","2025-10-06 15:41:41"
6000,não simultaneo,random,2,44,0.000000322,0,"","INOVAI-NB-8","CPU info","GCC 13.3.0","2025-10-06 15:41:41"
6000,simultaneo,random,2,44,0.000001272,0,"","INOVAI-NB-8","CPU info","GCC 13.3.0","2025-10-06 15:41:41"
6000,não simultaneo,random,3,45,0.000000326,0,"","INOVAI-NB-8","CPU info","GCC 13.3.0","2025-10-06 15:41:41"
6000,simultaneo,random,3,45,0.000001269,0,"","INOVAI-NB-8","CPU info","GCC 13.3.0","2025-10-06 15:41:41"
6000,não simultaneo,random,4,46,0.000000319,0,"","INOVAI-NB-8","CPU info","GCC 13.3.0","2025-10-06 15:41:41"
6000,simultaneo,random,4,46,0.000001265,0,"","INOVAI-NB-8","CPU info","GCC 13.3.0","2025-10-06 15:41:41"
7000,não simultaneo,random,0,42,0.000000388,0,"","INOVAI-NB-8","CPU info","GCC 13.3.0","2025-10-06 15:41:41"
7000,simultaneo,random,0,42,0.000001482,0,"","INOVAI-NB-8","CPU info","GCC 13.3.0","2025-10-06 15:41:41"
7000,não simultaneo,random,1,43,0.000000370,0,"","INOVAI-NB-8","CPU info","GCC 13.3.0","2025-10-06 15:41:41"
7000,simultaneo,random,1,43,0.000001486,0,"","INOVAI-NB-8","CPU info","GCC 13.3.0","2025-10-06 15:41:41"
7000,não simultaneo,random,2,44,0.000000370,0,"","INOVAI-NB-8","CPU info","GCC 13.3.0","2025-10-06 15:41:41"
7000,simultaneo,random,2,44,0.000001497,0,"","INOVAI-NB-8","CPU info","GCC 13.3.0","2025-10-06 15:41:41"
7000,não simultaneo,random,3,45,0.000000386,0,"","INOVAI-NB-8","CPU info","GCC 13.3.0","2025-10-06 15:41:41"
7000,simultaneo,random,3,45,0.000001485,0,"","INOVAI-NB-8","CPU info","GCC 13.3.0","2025-10-06 15:41:41"
7000,não simultaneo,random,4,46,0.000000375,0,"","INOVAI-NB-8","CPU info","GCC 13.3.0","2025-10-06 15:41:41"
7000,simultaneo,random,4,46,0.000001472,0,"","INOVAI-NB-8","CPU info","GCC 13.3.0","2025-10-06 15:41:41"
8000,não simultaneo,random,0,42,0.000000458,0,"","INOVAI-NB-8","CPU info","GCC 13.3.0","2025-10-06 15:41:41"
8000,simultaneo,random,0,42,0.000001697,0,"","INOVAI-NB-8","CPU info","GCC 13.3.0","2025-10-06 15:41:41"
8000,não simultaneo,random,1,43,0.000000443,0,"","INOVAI-NB-8","CPU info","GCC 13.3.0","2025-10-06 15:41:41"
8000,simultaneo,random,1,43,0.000001692,0,"","INOVAI-NB-8","CPU info","GCC 13.3.0","2025-10-06 15:41:41"
8000,não simultaneo,random,2,44,0.000000465,0,"","INOVAI-NB-8","CPU info","GCC 13.3.0","2025-10-06 15:41:41"
8000,simultaneo,random,2,44,0.000001706,0,"","INOVAI-NB-8","CPU info","GCC 13.3.0","2025-10-06 15:41:41"
8000,não simultaneo,random,3,45,0.000000440,0,"","INOVAI-NB-8","CPU info","GCC 13.3.0","2025-10-06 15:41:41"
8000,simultaneo,random,3,45,0.000001695,0,"","INOVAI-NB-8","CPU info","GCC 13.3.0","2025-10-06 15:41:41"
8000,não simultaneo,random,4,46,0.000000425,0,"","INOVAI-NB-8","CPU info","GCC 13.3.0","2025-10-06 15:41:41"
8000,simultaneo,random,4,46,0.000001683,0,"","INOVAI-NB-8","CPU info","GCC 13.3.0","2025-10-06 15:41:41"
9000,não simultaneo,random,0,42,0.000000458,0,"","INOVAI-NB-8","CPU info","GCC 13.3.0","2025-10-06 15:41:41"
9000,simultaneo,random,0,42,0.000001824,0,"","INOVAI-NB-8","CPU info","GCC 13.3.0","2025-10-06 15:41:41"
9000,não simultaneo,random,1,43,0.000000458,0,"","INOVAI-NB-8","CPU info","GCC 13.3.0","2025-10-06 15:41:41"
9000,simultaneo,random,1,43,0.000001826,0,"","INOVAI-NB-8","CPU info","GCC 13.3.0","2025-10-06 15:41:41"
