size,data_structure,operation,run_index,seed,time_s,min_val,max_val,cpu_model,cpu_cores,compiler_version,os_info,timestamp,hostname
20000,vector,push_back,0,42,0.00007638,0,100000,"Unknown",22,"GCC 13.3.0","Linux 6.6.87.2-microsoft-standard-WSL2","2025-09-19 13:19:13","INOVAI-NB-8"
20000,vector,push_back,1,43,0.00004758,0,100000,"Unknown",22,"GCC 13.3.0","Linux 6.6.87.2-microsoft-standard-WSL2","2025-09-19 13:19:13","INOVAI-NB-8"
20000,vector,push_back,2,44,0.00004833,0,100000,"Unknown",22,"GCC 13.3.0","Linux 6.6.87.2-microsoft-standard-WSL2","2025-09-19 13:19:13","INOVAI-NB-8"
25000,vector,push_back,0,42,0.00005671,0,100000,"Unknown",22,"GCC 13.3.0","Linux 6.6.87.2-microsoft-standard-WSL2","2025-09-19 13:19:13","INOVAI-NB-8"
25000,vector,push_back,1,43,0.00005544,0,100000,"Unknown",22,"GCC 13.3.0","Linux 6.6.87.2-microsoft-standard-WSL2","2025-09-19 13:19:13","INOVAI-NB-8"
25000,vector,push_back,2,44,0.00003798,0,100000,"Unknown",22,"GCC 13.3.0","Linux 6.6.87.2-microsoft-standard-WSL2","2025-09-19 13:19:13","INOVAI-NB-8"
30000,vector,push_back,0,42,0.00005166,0,100000,"Unknown",22,"GCC 13.3.0","Linux 6.6.87.2-microsoft-standard-WSL2","2025-09-19 13:19:13","INOVAI-NB-8"
30000,vector,push_back,1,43,0.00006833,0,100000,"Unknown",22,"GCC 13.3.0","Linux 6.6.87.2-microsoft-standard-WSL2","2025-09-19 13:19:13","INOVAI-NB-8"
30000,vector,push_back,2,44,0.00004799,0,100000,"Unknown",22,"GCC 13.3.0","Linux 6.6.87.2-microsoft-standard-WSL2","2025-09-19 13:19:13","INOVAI-NB-8"
35000,vector,push_back,0,42,0.00010493,0,100000,"Unknown",22,"GCC 13.3.0","Linux 6.6.87.2-microsoft-standard-WSL2","2025-09-19 13:19:13","INOVAI-NB-8"
35000,vector,push_back,1,43,0.00005663,0,100000,"Unknown",22,"GCC 13.3.0","Linux 6.6.87.2-microsoft-standard-WSL2","2025-09-19 13:19:13","INOVAI-NB-8"
