size,algorithm,data_type,run_index,seed,time_s,comparisons,metadata,hostname,cpu_info,compiler_info,timestamp
400000,simultaneous,random,0,42,0.000118757,0,"","INOVAI-NB-8","CPU info","GCC 13.3.0","2025-10-06 11:47:47"
500000,separate,random,0,42,0.000060962,0,"","INOVAI-NB-8","CPU info","GCC 13.3.0","2025-10-06 11:47:47"
500000,simultaneous,random,0,42,0.000156805,0,"","INOVAI-NB-8","CPU info","GCC 13.3.0","2025-10-06 11:47:47"
600000,separate,random,0,42,0.000075715,0,"","INOVAI-NB-8","CPU info","GCC 13.3.0","2025-10-06 11:47:47"
600000,simultaneous,random,0,42,0.000187858,0,"","INOVAI-NB-8","CPU info","GCC 13.3.0","2025-10-06 11:47:47"
700000,separate,random,0,42,0.000095966,0,"","INOVAI-NB-8","CPU info","GCC 13.3.0","2025-10-06 11:47:47"
700000,simultaneous,random,0,42,0.000237823,0,"","INOVAI-NB-8","CPU info","GCC 13.3.0","2025-10-06 11:47:47"
800000,separate,random,0,42,0.000110255,0,"","INOVAI-NB-8","CPU info","GCC 13.3.0","2025-10-06 11:47:47"
800000,simultaneous,random,0,42,0.000279096,0,"","INOVAI-NB-8","CPU info","GCC 13.3.0","2025-10-06 11:47:47"
900000,separate,random,0,42,0.000117038,0,"","INOVAI-NB-8","CPU info","GCC 13.3.0","2025-10-06 11:47:47"
900000,simultaneous,random,0,42,0.000300085,0,"","INOVAI-NB-8","CPU info","GCC 13.3.0","2025-10-06 11:47:47"
1000000,separate,random,0,42,0.000133597,0,"","INOVAI-NB-8","CPU info","GCC 13.3.0","2025-10-06 11:47:47"
1000000,simultaneous,random,0,42,0.000334877,0,"","INOVAI-NB-8","CPU info","GCC 13.3.0","2025-10-06 11:47:47"
2000000,separate,random,0,42,0.000306222,0,"","INOVAI-NB-8","CPU info","GCC 13.3.0","2025-10-06 11:47:47"
2000000,simultaneous,random,0,42,0.000704297,0,"","INOVAI-NB-8","CPU info","GCC 13.3.0","2025-10-06 11:47:47"
3000000,separate,random,0,42,0.000673594,0,"","INOVAI-NB-8","CPU info","GCC 13.3.0","2025-10-06 11:47:47"
3000000,simultaneous,random,0,42,0.001289646,0,"","INOVAI-NB-8","CPU info","GCC 13.3.0","2025-10-06 11:47:47"
4000000,separate,random,0,42,0.000864289,0,"","INOVAI-NB-8","CPU info","GCC 13.3.0","2025-10-06 11:47:47"
4000000,simultaneous,random,0,42,0.002147819,0,"","INOVAI-NB-8","CPU info","GCC 13.3.0","2025-10-06 11:47:47"
5000000,separate,random,0,42,0.001448420,0,"","INOVAI-NB-8","CPU info","GCC 13.3.0","2025-10-06 11:47:47"
5000000,simultaneous,random,0,42,0.002548127,0,"","INOVAI-NB-8","CPU info","GCC 13.3.0","2025-10-06 11:47:47"
6000000,separate,random,0,42,0.001988998,0,"","INOVAI-NB-8","CPU info","GCC 13.3.0","2025-10-06 11:47:47"
6000000,simultaneous,random,0,42,0.003691810,0,"","INOVAI-NB-8","CPU info","GCC 13.3.0","2025-10-06 11:47:47"
7000000,separate,random,0,42,0.002280478,0,"","INOVAI-NB-8","CPU info","GCC 13.3.0","2025-10-06 11:47:47"
